block,task,case_id,method,success,score,termination,native_sha256
added,build_tower,build_tower__standard__g0__l0,hybrid,1,100.0,native_terminal,19eadb6ae0436db9fe9c29855c3f5cd9e99c6ec800d4ceb2fa2a900eb1d3c1fb
added,build_tower,build_tower__standard__g0__l0,policy,1,100.0,native_terminal,a818c17878078e34077710a61e30ff26f6b03f28b62f1a3ae9eaddea71b66ac5
added,build_tower,build_tower__standard__g0__l1,hybrid,1,100.0,native_terminal,a923db16964d9bd756344c14679986a5bde898c98980eb72386f18a4be16aa9e
added,build_tower,build_tower__standard__g0__l1,policy,1,100.0,native_terminal,56d774b72495ecc451c28a9165d74fd303b9adad202acc48b9ac14b1f45ab3c3
added,build_tower,build_tower__standard__g0__l2,hybrid,1,100.0,native_terminal,6a02aa34d0a61b8de0a69d65d5b781b27ec86a8a7ffdd5176b846eee35064d1b
added,build_tower,build_tower__standard__g0__l2,policy,0,10.0,native_terminal,6e828f9c919bac94ab0882cc2b6753553ce6ba79f745d17b874ae9ff14c90b67
added,build_tower,build_tower__standard__g0__l3,hybrid,0,30.0,native_terminal,d2c8cbaafe8b2a1b6c8933ff8fe655b527340b2170dad11aa6c17229849f2a91
added,build_tower,build_tower__standard__g0__l3,policy,1,100.0,native_terminal,7f0121758c1b2cc7db9879b44fba414c265e6cfbfcd38a2a734b5217492f18db
added,build_tower,build_tower__standard__g0__l4,hybrid,1,100.0,native_terminal,5ae0ec3ef1f9fe48953346b1321dd9535a7d64111bec4b4dee4ddccd89b47eed
added,build_tower,build_tower__standard__g0__l4,policy,1,100.0,native_terminal,54c0afbaac31d65adc40775bc79339d9005db25416e4108ac60b67c3634ee607
added,classify_objects,classify_objects__standard__g0__l0,hybrid,0,0.0,native_terminal,bf42fd3fd23c21fcaa680d1ceeaca42b73641af85c09442c6124bd1407f05bb4
added,classify_objects,classify_objects__standard__g0__l0,policy,0,0.0,native_terminal,bf42fd3fd23c21fcaa680d1ceeaca42b73641af85c09442c6124bd1407f05bb4
